task,model,split_strategy,seed,training_seconds,inference_seconds,runtime_seconds,test_sample_count,data_provenance
soh,random_forest,held_out_cell,11,0.060662400002911454,0.002924099997471785,0.06358650000038324,10,synthetic data generated inside this project
soh,hist_gradient_boosting,held_out_cell,11,0.1822892000018328,0.00579210000068997,0.18808130000252277,10,synthetic data generated inside this project
soh,mlp,held_out_cell,11,0.12189899999793852,0.000311100000544684,0.1222100999984832,10,synthetic data generated inside this project
soh,ridge,held_out_cell,42,0.001762399999279296,9.480000153416768e-05,0.0018572000008134637,10,synthetic data generated inside this project
soh,random_forest,held_out_cell,42,0.06425830000080168,0.0024460000022372697,0.06670430000303895,10,synthetic data generated inside this project
soh,hist_gradient_boosting,held_out_cell,42,0.16741170000022976,0.011017100001481595,0.17842880000171135,10,synthetic data generated inside this project
soh,mlp,held_out_cell,42,0.04910250000102678,0.00028369999927235767,0.04938620000029914,10,synthetic data generated inside this project
soh,ridge,held_out_cell,73,0.0006814000007580034,0.00010069999916595407,0.0007820999999239575,10,synthetic data generated inside this project
soh,random_forest,held_out_cell,73,0.05945799999972223,0.002255299998068949,0.06171329999779118,10,synthetic data generated inside this project
soh,hist_gradient_boosting,held_out_cell,73,0.14601810000021942,0.011208099997020327,0.15722619999723975,10,synthetic data generated inside this project
soh,mlp,held_out_cell,73,0.06772020000062184,0.00024980000307550654,0.06797000000369735,10,synthetic data generated inside this project
soh,ridge,chronological,11,0.0006947000001673587,6.420000136131421e-05,0.0007589000015286729,12,synthetic data generated inside this project
soh,random_forest,chronological,11,0.042562000002362765,0.002080400001432281,0.044642400003795046,12,synthetic data generated inside this project
soh,hist_gradient_boosting,chronological,11,0.036104599999816855,0.00268800000048941,0.038792600000306265,12,synthetic data generated inside this project
soh,mlp,chronological,11,0.019646799999463838,0.00018080000154441223,0.01982760000100825,12,synthetic data generated inside this project
soh,ridge,chronological,42,0.0005691999976988882,6.719999873894267e-05,0.0006363999964378309,12,synthetic data generated inside this project
soh,random_forest,chronological,42,0.05032829999981914,0.002012499997363193,0.05234079999718233,12,synthetic data generated inside this project
soh,hist_gradient_boosting,chronological,42,0.03683830000227317,0.0017637999990256503,0.03860210000129882,12,synthetic data generated inside this project
